Distance_(pixels),Gray_Value
0,255.000
1,255.000
2,255.000
3,255.000
4,26.714
5,0.000
6,0.000
7,0.000
8,105.761
9,218.515
10,255.000
11,255.000
12,255.000
13,147.121
14,31.484
15,0.000
16,0.000
17,16.965
18,17.780
19,0.000
20,0.000
21,0.000
22,0.000
23,0.000
24,30.415
25,130.954
26,255.000
27,255.000
28,214.117
29,53.663
30,25.806
31,142.712
32,255.000
33,255.000
34,236.381
35,77.917
36,0.000
37,0.000
38,0.000
39,0.000
40,0.000
41,0.000
42,115.800
43,241.129
44,255.000
45,255.000
46,255.000
47,58.893
48,24.146
49,180.782
50,114.605
51,17.914
52,0.000
53,0.000
54,0.000
55,0.000
56,0.000
57,129.321
58,255.000
59,255.000
60,255.000
61,186.595
62,53.024
63,0.823
64,0.000
65,59.356
66,201.745
67,255.000
68,255.000
69,255.000
70,255.000
71,255.000
72,225.857
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,244.071
79,255.000
80,255.000
81,255.000
82,255.000
83,255.000
84,255.000
85,255.000
86,255.000
87,99.944
88,18.010
89,0.000
90,0.000
91,0.000
92,0.000
93,143.893
94,255.000
95,255.000
96,255.000
97,173.410
98,47.184
99,0.000
100,0.000
101,0.000
102,0.000
103,0.000
104,0.000
105,0.000
106,0.000
107,0.079
108,26.077
109,140.420
110,166.113
111,15.443
112,0.000
113,0.000
114,2.766
115,180.570
116,251.833
117,255.000
118,255.000
119,193.324
120,23.619
121,0.000
122,62.191
123,113.037
124,199.242
125,232.781
126,68.280
127,0.000
128,0.000
129,158.464
130,255.000
131,255.000
132,255.000
133,148.285
134,128.360
135,250.064
136,255.000
137,170.250
138,10.226
139,0.000
140,82.815
141,240.761
142,190.335
143,63.279
144,26.625
145,112.834
146,233.293
147,255.000
148,255.000
149,255.000
150,254.990
151,253.435
152,233.597
153,86.067
154,10.051
155,0.258
156,0.000
157,68.540
158,219.489
159,250.734
160,255.000
161,255.000
162,255.000
163,248.930
164,80.889
165,2.640
166,0.000
167,20.477
168,97.440
169,87.152
170,145.119
171,236.819
172,255.000
173,255.000
174,215.206
175,142.500
176,51.438
177,0.000
178,0.000
179,0.000
180,22.925
181,109.297
182,215.670
183,66.468
184,0.000
185,27.968
186,186.755
187,255.000
188,242.048
189,80.750
190,0.000
191,0.000
192,0.167
193,241.036
194,255.000
195,255.000
196,255.000
197,215.504
198,70.720
199,11.128
200,0.000
201,0.000
202,0.000
203,0.000
204,0.000
205,0.000
206,102.810
207,219.179
208,255.000
209,255.000
210,255.000
